A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,D
16.4,14.5,59.82,2.5,7.5,5.2,5,3,5,4,2,4,A
35.8,67,64.92,1.7,2.1,4.5,5,4,5,5,4,5,A
20.6,61.75,75.71,3.6,3.6,8,5,3,5,5,3,5,A
11.5,17.1,57.1,3.8,4.2,3.7,5,2,5,4,3,4,A
22.4,25.1,49.8,2.1,5,7.9,5,3,5,5,3,5,A
23.9,34.5,48.9,1.7,2.5,8,5,3,4,4,3,4,A
29.9,44,57.8,1.8,1.7,2.5,5,4,4,5,3,5,A
8.7,5.4,27.4,3.3,4.5,4.5,5,2,4,4,1,4,A
25.7,29.7,46.8,1.7,4.6,3.7,4,2,4,3,1,3,A
21.2,24.6,64.8,3.7,3.6,8,4,2,4,4,1,4,A
18.32,31.6,69.3,4.4,2.8,3,4,3,4,4,3,4,A
20.7,19.3,19.7,0.7,2.2,4,4,2,4,4,1,3,A
9.9,3.5,53.1,4.5,8.5,5.3,4,2,4,4,1,4,A
10.4,9.3,80.9,9.4,1.4,4.1,4,2,4,4,3,3,A
17.7,19.8,52.8,3.2,7.9,6.1,4,4,4,4,2,5,A
14.8,15.9,27.94,1.3,5.4,1.8,4,2,4,3,2,3,A
16,14.7,53.5,3.9,6.8,3.8,4,4,4,4,2,4,A
11.7,10.01,42.1,3.9,12.2,4.3,5,2,4,2,1,3,A
11,4.2,60.8,5.8,6.2,4.8,4,2,4,4,2,4,A
15.5,8.5,56.2,6.5,5.5,1.8,4,2,4,4,2,4,A
13.2,9.1,74.1,11.21,6.4,5,2,2,4,4,2,3,U
9.1,4.1,44.8,4.2,3.3,10.4,3,4,4,4,3,4,U
12.9,1.9,65.02,6.9,14.01,7.5,4,3,3,2,1,2,U
5.9,-27.7,77.4,-32.2,16.6,12.7,3,2,4,4,2,3,U
16.9,12.4,60.1,5.2,5.6,5.6,3,2,4,4,2,3,U
16.7,13.1,73.5,7.1,11.9,4.1,2,2,4,4,2,3,U
14.6,9.7,59.5,5.8,6.7,5.6,2,2,4,4,2,4,U
5.1,4.9,28.9,4.3,2.5,46,2,2,3,3,1,2,U
24.4,22.3,32.8,1.4,3.3,5,2,3,4,4,2,3,U
29.7,8.6,41.8,1.6,5.2,6.4,2,3,4,4,2,3,U
7.3,-64.5,67.5,-2.2,30.1,8.7,3,3,4,4,2,3,NA
23.7,31.9,63.6,3.5,12.1,10.2,3,2,3,4,1,3,NA
18.9,13.5,74.5,10,12,8.4,3,3,3,4,3,4,NA
13.9,3.3,78.7,25.5,14.7,10.1,2,2,3,4,3,4,NA
-13.3,-31.1,63,-10,21.2,23.1,2,1,4,3,1,2,NA
6.2,-3.2,46.1,5.1,4.8,10.5,2,1,3,3,2,3,NA
4.8,-3.3,71.9,34.6,8.6,11.6,2,2,4,4,2,3,NA
0.1,-9.6,42.5,-20,12.9,12.4,1,1,4,3,1,3,NA
13.6,9.1,76,11.4,17.1,10.3,1,1,2,1,1,2,NA
